Keyword,ETF_Type
Energy S,Utilities
Energy Infra,Utilities
Util,Utilities
World Energy,Utilities
Energy Index,Utilities
Energy Div,Utilities
Energy Longer,Utilities
(AIGE),Utilities
Luxury,Luxury
ESG,ESG
Leader,Banking & Financials
Financ,Banking & Financials
Industr,Industry
Consumer,Consumer Staples
Staple,Consumer Staples
East,Regional
Conserv,Portfolios: Conservative
Moderate,Portfolios: Moderate
Balance,Portfolios: Balance
Growth,Portfolios: Growth
Real Estate,REIT & Property
Property,REIT & Property
Europe,Regional
JPX,Regional
Brazil,Regional
India,Regional
Japan,Regional
Asia,Regional
Agriculture,Industry
France,Regional
Spain,Regional
UK,Regional
Climate,Green
Water,Green
Energy,Green
Bank,Banking & Financials
Emerging,Regional
NASD,Index
Latin,Regional
Latam,Regional
Nord,Regional
Switz,Regional
S&P,Index
Bond,Bonds
Gold,ETC - Metals
Silver,ETC - Metals
Cloud,Cloud & AI & IT
Treasu,Bonds
DAX,Index
Large Cap,Portfolios: Large Cap
Small Cap,Portfolios: Small Cap
Mid Cap,Portfolios: Mid Cap
All Cap,Portfolios: All Cap
semicond,Cloud & AI & IT
Russell,Russell
Vietnam,Regional
Mexico,Regional
Russia,Regional
Germany,Regional
Health,Healthcare
Information,Cloud & AI & IT
USA,Regional
United King,Regional
Swiss,Regional
Malay,Regional
Internet,Cloud & AI & IT
US ,Regional
Philipp,Regional
Thai,Regional
China,Regional
esport,Gaming
e-sport,Gaming
Video,Gaming
Betting,Sports
Airline,Travel
Hotel,Travel
Cruise,Travel
Digital,Cloud & AI & IT
Retail,Retail
Corpo,Corporate
Index,Index
FTSE,Index
Dividend,High Dividend
EMEA,Regional
Rate Swap,Rate Swap
Stoxx,Index
Crypto,Blockchain & Crypto
Blockchain,Blockchain & Crypto
Transaction,Blockchain & Crypto
Communication,Communications
Cannabis,Cannabis
Sustainable,Sustainable
Africa,Regional
Austral,Regional
Turkey,Regional
Value,Portfolios: Quality
Minimum Volatility,Minimum Volatility
Min Vol,Minimum Volatility
Euro,Regional
Canada,Regional
Indonesia,Regional
Korea,Regional
Taiwan,Regional
Hang Seng,Index
Batter,Batteries & Vehicles
Robotic,Automation & Robotics
Dow Jones,Index
Quality,Portfolios: Quality
Size,Portfolios: Size
Momentum,Portfolios: Momentum
America,Regional
vodafone,Company Specific
bae systems,Company Specific
 bp ,Company Specific
rio tinto,Company Specific
tesla,Company Specific
facebook,Company Specific
nvidia,Company Specific
barclay,Company Specific
Yield,High Yield
Yld,High Yield
nikkei,Index
mining,Mining & Metals
miner,Mining & Metals
Livestock,ETC - Agri
sugar,ETC - Agri
crude oil,ETC - Oil & Gas
Wheat,ETC - Agri
soybean,ETC - Agri
 tin ,ETC - Metals
softs,ETC - Agri
palladium,ETC - Metals
petroleum,ETC - Oil & Gas
nickel,ETC - Metals
natural gas,ETC - Oil & Gas
cattle,ETC - Agri
lean hogs,ETC - Agri
heating oil,ETC - Oil & Gas
lead,ETC - Metals
grains,ETC - Agri
gasoline,ETC - Oil & Gas
cotton,ETC - Agri
corn,ETC - Agri
copper,ETC - Metals
coffee,ETC - Agri
cocoa,ETC - Agri
carbon,Green
commodit,ETC - Generic Commodities
alumin,ETC - Metals
Cyber,Cloud & AI & IT
Software,Cloud & AI & IT
Artificial Intelligence,Cloud & AI & IT
hydrogen,Green
saudi,Regional
poland,Regional
long USD,Currency
short USD,Currency
long GBP,Currency
short GBP,Currency
 nok ,Currency
chf,Currency
Pharma,Pharma
Ecomm,Ecomm
Equity,Equity
Islamic,Regional
MSCI W,World
Screened,World
Tips,Bonds
TSY,Bonds
Emg,Regional
apple,Company Specific
amazon,Company Specific
alphabet,Company Specific
microsoft,Company Specific
visa,Company Specific
netflix,Company Specific
ageing,ESG
gender,ESG
social,ESG
Core,Portfolios: Core
greece,Regional
gilt,Gilts
vehicle,Batteries & Vehicles
Ultra-Short,Ultra-Short
MSCI,MSCI Various
Enviro,Green
Short,Unspecificed Short
Nifty,Index
Tech,Cloud & AI & IT
Composite,Composites & Aggregates
Aggr,Composites & Aggregates
Select,Composites & Aggregates
cac 40,Index
titans,Index
Bnd,Bonds
Gov BD,Bonds
zinc,ETC - Metals
Metal,Mining & Metals
Cleaner living,Green
Infrastructure,Utilities
Smart Home,Cloud & AI & IT
S&amp;P,Index
Bund,Bonds
Nasdaq,Index
Inflation,Inflation
